"","iyear","country","attacktype1","weaptype1","gname","nkill","nhours","ndays","hostkidoutcome","suicide"
"306",2016,4,6,8,"Khorasan Chapter of the Islamic State",4,NA,-99,7,0
"307",2016,4,6,5,"Khorasan Chapter of the Islamic State",27,-99,NA,6,0
"308",2016,4,6,9,"Khorasan Chapter of the Islamic State",1,-99,NA,4,0
"309",2016,4,6,13,"Taliban",NA,NA,-99,7,0
"310",2016,4,6,13,"Khorasan Chapter of the Islamic State",NA,NA,-99,6,0
"311",2016,4,6,5,"Taliban",2,-99,NA,4,0
"312",2016,4,6,5,"Taliban",0,NA,129,2,0
"313",2016,4,4,13,"Taliban",NA,NA,-99,7,0
"314",2016,4,6,13,"Khorasan Chapter of the Islamic State",10,NA,-99,6,0
"315",2016,4,6,13,"Khorasan Chapter of the Islamic State",12,NA,115,6,0
"316",2016,4,6,5,"Khorasan Chapter of the Islamic State",1,-99,NA,4,0
"317",2016,4,6,13,"Taliban",4,-99,NA,4,0
"318",2016,4,6,5,"Taliban",0,NA,1,2,0
"319",2016,4,6,5,"Taliban",1,-99,NA,4,0
"320",2016,4,6,9,"Taliban",1,-99,NA,4,0
"321",2016,4,6,5,"Taliban",4,-99,NA,4,0
"322",2016,4,6,13,"Taliban",0,NA,8,5,0
"323",2017,4,6,5,"Taliban",0,NA,18,2,0
"324",2016,4,6,5,"Taliban",1,-99,NA,4,0
"325",2016,4,6,5,"Haji Fateh",0,NA,27,6,0
"326",2016,4,6,13,"Taliban",0,NA,1,2,0
"327",2016,4,5,6,"Taliban",11,10,NA,5,1
"328",2016,4,6,5,"Taliban",1,-99,NA,4,0
"329",2016,4,6,5,"Khorasan Chapter of the Islamic State",3,NA,-99,7,0
"330",2016,4,6,5,"Taliban",0,NA,3,5,0
"331",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"332",2017,4,6,9,"Taliban",0,-99,NA,2,0
"333",2017,4,6,13,"Unknown",0,NA,NA,NA,0
"334",2017,4,6,5,"Khorasan Chapter of the Islamic State",0,NA,47,2,0
"335",2017,4,6,5,"Unknown",NA,NA,-99,7,0
"336",2017,4,6,5,"Unknown",NA,NA,-99,7,0
"337",2017,4,6,5,"Taliban",5,NA,1,3,0
"338",2017,4,6,9,"Taliban",1,-99,NA,4,0
"339",2017,4,6,5,"Taliban",2,NA,-99,6,0
"340",2017,4,6,5,"Taliban",0,NA,46,2,0
"341",2017,4,6,5,"Taliban",NA,NA,-99,7,0
"342",2017,4,6,5,"Khorasan Chapter of the Islamic State",6,NA,209,2,0
"343",2017,4,5,13,"Taliban",0,-99,NA,2,0
"344",2017,4,6,5,"Taliban",NA,NA,-99,7,0
"345",2017,4,6,5,"Taliban",NA,NA,-99,7,0
"346",2017,4,6,5,"Taliban",NA,NA,-99,7,0
"347",2017,4,6,13,"Taliban",0,NA,4,2,0
"348",2017,4,6,5,"Taliban",2,-99,NA,4,0
"349",2017,4,6,13,"Taliban",0,NA,4,2,0
"350",2017,4,6,9,"Khorasan Chapter of the Islamic State",1,-99,NA,4,0
"351",2017,4,6,9,"Khorasan Chapter of the Islamic State",2,-99,NA,4,0
"352",2017,4,6,5,"Taliban",6,-99,NA,4,0
"353",2017,4,6,13,"Khorasan Chapter of the Islamic State",NA,NA,-99,7,0
"354",2017,4,6,9,"Khorasan Chapter of the Islamic State",3,-99,NA,4,0
"355",2017,4,6,9,"Taliban",0,-99,NA,2,0
"356",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"357",2017,4,6,5,"Khorasan Chapter of the Islamic State",3,NA,1,4,0
"358",2017,4,6,13,"Khorasan Chapter of the Islamic State",NA,NA,-99,7,0
"359",2017,4,6,13,"Khorasan Chapter of the Islamic State",NA,NA,-99,7,0
"360",2017,4,6,5,"Khorasan Chapter of the Islamic State",1,-99,NA,4,0
"361",2017,4,6,5,"Taliban",2,NA,-99,7,0
"362",2017,4,6,5,"Taliban",2,NA,-99,7,0
"363",2017,4,6,5,"Taliban",1,NA,-99,7,0
"364",2017,4,6,5,"Taliban",1,NA,-99,7,0
"365",2017,4,6,13,"Taliban",0,NA,1,2,0
"366",2017,4,6,12,"Taliban",2,-99,NA,4,0
"367",2017,4,6,13,"Khorasan Chapter of the Islamic State",0,-99,NA,2,0
"368",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"369",2017,4,6,5,"Taliban",NA,NA,-99,7,0
"370",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"371",2017,4,6,13,"Taliban",NA,NA,-99,7,0
"372",2017,4,6,13,"Taliban",NA,NA,-99,7,0
